Game_Number,Player_White,Player_Black,Time_Control,Who_won,Date,Game
1,"Carlsen, M.","Giri, A.",Unknown,Draw,2011.03.15,1. d4 Nf6 2. c4 g6 3. g3 Bg7 4. Bg2 d5 5. cxd5 Nxd5 6. Nf3 Nb6 7. Nc3 Nc6 8. e3 O-O 9. O-O Re8 10. Re1 a5 11. Qd2 e5 12. d5 Nb4 13. e4 c6 14. a3 cxd5 15. axb4 axb4 16. Rxa8 bxc3 17. bxc3 Nxa8 18. exd5 Nb6 19. Rd1 e4 20. Ng5 e3 21. Qb2 Qxg5 22. Bxe3 Qg4 0-1 1. d4 Nf6 2. c4 g6 3. Nf3 Bg7 4. g3 d5 5. cxd5 Nxd5 6. Bg2 Nb6 7. Nc3 Nc6 8. e3 O-O 9. O-O Re8 10. b3 e5 11. Nxe5 Nxe5 12. dxe5 Qxd1 13. Rxd1 Bxe5 14. Bb2 c6 15. Rd2 Bf5 16. Rad1 Bf6 17. h3 h5 18. Kh2 Be5 19. Kg1 Bf6 20. Bf1 Kf8 21. Kg2 Rad8 22. Ba3+ Kg8 23. Rxd8 Rxd8 24. Rxd8+ Bxd8 25. e4 Be6 26. Ne2 Nc8 27. Nf4 Bd7 28. Nd3 Be7 29. Bc5 Kf8 30. f4 b6 31. Be3 Nd6 32. Ne5 Be8 33. Bd3 c5 34. Kf3 f6 35. Nc4 Bc6 36. Nxd6 Bxd6 37. Bd2 b5 38. Bc3 Kf7 39. Ke3 a6 40. Be2 Bd7 41. h4 1/2-1/2
2,"Giri, A.","Carlsen, M.",Rapid,B,2011.03.15,1. d4 Nf6 2. c4 g6 3. Nf3 Bg7 4. g3 d5 5. cxd5 Nxd5 6. Bg2 Nb6 7. Nc3 Nc6 8. e3 O-O 9. O-O Re8 10. b3 e5 11. Nxe5 Nxe5 12. dxe5 Qxd1 13. Rxd1 Bxe5 14. Bb2 c6 15. Rd2 Bf5 16. Rad1 Bf6 17. h3 h5 18. Kh2 Be5 19. Kg1 Bf6 20. Bf1 Kf8 21. Kg2 Rad8 22. Ba3+ Kg8 23. Rxd8 Rxd8 24. Rxd8+ Bxd8 25. e4 Be6 26. Ne2 Nc8 27. Nf4 Bd7 28. Nd3 Be7 29. Bc5 Kf8 30. f4 b6 31. Be3 Nd6 32. Ne5 Be8 33. Bd3 c5 34. Kf3 f6 35. Nc4 Bc6 36. Nxd6 Bxd6 37. Bd2 b5 38. Bc3 Kf7 39. Ke3 a6 40. Be2 Bd7 41. h4 1/2-1/2 1. d4 e6 2. c4 Bb4+ 3. Bd2 Bxd2+ 4. Qxd2 f5 5. g3 Nf6 6. Bg2 O-O 7. Nf3 d6 8. O-O Qe7 9. Nc3 c6 10. Rfe1 d5 11. e3 Nbd7 12. b3 b6 13. Ne2 Bb7 14. Nf4 dxc4 15. bxc4 c5 16. Ng5 Bxg2 17. Kxg2 e5 18. Nfe6 Ne4 19. Nxe4 Qxe6 20. Ng5 Qxc4 21. dxc5 Nxc5 22. Rec1 Qd3 23. Qxd3 Nxd3 24. Rc7 h6 25. Nf3 Rf7 26. Rc3 Rd7 27. a4 Rad8 28. Rb1 Rd5 29. Rc7 R8d7 30. Rxd7 Rxd7 31. Rb5 Rd6 32. a5 e4 33. Nd4 g6 34. Rb1 Kf7 35. h3 Ke7 36. Nb5 Rd5 37. axb6 axb6 38. Nd4 Rd6 39. Nb5 Rf6 40. f3 exf3+ 41. Kxf3 Ne5+ 42. Ke2 Nd7 43. Nd4 Rd6 44. g4 fxg4 45. hxg4 Ne5 46. Nb5 Rf6 47. Rb4 Rf2+ 48. Kxf2 Nd3+ 49. Kf3 Nxb4 50. Kf4 Kf6 51. Nc3 Nd3+ 52. Ke4 Nc5+ 53. Kf4 g5+ 54. Kf3 Ke5 55. Nb5 Ne4 56. Na7 Nd2+ 57. Ke2 Nc4 58. Nc6+ Ke4 59. Ne7 Nxe3 60. Nc8 Nxg4 61. Nxb6 Ne5 62. Kf2 h5 63. Kg3 h4+ 64. Kh3 Kf3 65. Nc8 Nd3 66. Nd6 Nf4+ 67. Kh2 g4 68. Nf5 g3+ 69. Kh1 g2+ 70. Kh2 Kf2 0-1
3,"Carlsen, M.","Giri, A.",Unknown,Draw,2012.01.19,1. d4 e6 2. c4 Bb4+ 3. Bd2 Bxd2+ 4. Qxd2 f5 5. g3 Nf6 6. Bg2 O-O 7. Nf3 d6 8. O-O Qe7 9. Nc3 c6 10. Rfe1 d5 11. e3 Nbd7 12. b3 b6 13. Ne2 Bb7 14. Nf4 dxc4 15. bxc4 c5 16. Ng5 Bxg2 17. Kxg2 e5 18. Nfe6 Ne4 19. Nxe4 Qxe6 20. Ng5 Qxc4 21. dxc5 Nxc5 22. Rec1 Qd3 23. Qxd3 Nxd3 24. Rc7 h6 25. Nf3 Rf7 26. Rc3 Rd7 27. a4 Rad8 28. Rb1 Rd5 29. Rc7 R8d7 30. Rxd7 Rxd7 31. Rb5 Rd6 32. a5 e4 33. Nd4 g6 34. Rb1 Kf7 35. h3 Ke7 36. Nb5 Rd5 37. axb6 axb6 38. Nd4 Rd6 39. Nb5 Rf6 40. f3 exf3+ 41. Kxf3 Ne5+ 42. Ke2 Nd7 43. Nd4 Rd6 44. g4 fxg4 45. hxg4 Ne5 46. Nb5 Rf6 47. Rb4 Rf2+ 48. Kxf2 Nd3+ 49. Kf3 Nxb4 50. Kf4 Kf6 51. Nc3 Nd3+ 52. Ke4 Nc5+ 53. Kf4 g5+ 54. Kf3 Ke5 55. Nb5 Ne4 56. Na7 Nd2+ 57. Ke2 Nc4 58. Nc6+ Ke4 59. Ne7 Nxe3 60. Nc8 Nxg4 61. Nxb6 Ne5 62. Kf2 h5 63. Kg3 h4+ 64. Kh3 Kf3 65. Nc8 Nd3 66. Nd6 Nf4+ 67. Kh2 g4 68. Nf5 g3+ 69. Kh1 g2+ 70. Kh2 Kf2 0-1 1. c4 Nf6 2. Nf3 g6 3. Nc3 Bg7 4. d4 O-O 5. Bg5 d6 6. e3 h6 7. Bh4 g5 8. Bg3 Nh5 9. Nd2 Nxg3 10. hxg3 e6 11. Qc2 Qe7 12. Be2 a6 13. f4 f5 14. O-O-O c5 15. d5 e5 16. Rh5 exf4 17. gxf4 gxf4 18. exf4 Nd7 19. Bd3 Nf6 20. Rhh1 Ng4 21. Rde1 Qf6 22. Re2 Qd4 23. Na4 Ne3 24. Rxe3 Qxe3 25. Nb6 Rb8 26. Rf1 Re8 27. Kb1 Qd4 28. Nb3 Qf6 29. Nc1 Re7 30. Nxc8 Rxc8 31. Bxf5 Rce8 32. Be6+ Rxe6 33. dxe6 Qxe6 34. Rf2 Qe4 35. Re2 Qxc2+ 36. Kxc2 Rf8 37. Nd3 b5 38. b3 Kf7 39. Nf2 Rd8 40. Ne4 d5 41. Nxc5 dxc4 42. Nxa6 Ra8 43. Nb4 Bf8 44. Kc3 Bg7+ 45. Kc2 Bf8 46. Kc3 Bg7+ 47. Kd2 Bf8 48. Nc2 Rxa2 49. bxc4 bxc4 50. Re4 Ra4 51. Ke2 Bc5 52. Kf3 Kf6 53. g4 Kf7 54. f5 Be7 55. Ne3 Ra3 56. Rxc4 Bg5 57. Re4 Kf6 58. Re8 Rxe3+ 59. Rxe3 Bxe3 60. Kxe3 h5 61. gxh5 Kxf5 62. h6 Kg6 63. h7 Kg7 64. Ke2 Kxh7 1/2-1/2
4,"Carlsen, M.","Giri, A.",Unknown,Draw,2012.07.27,1. c4 Nf6 2. Nf3 g6 3. Nc3 Bg7 4. d4 O-O 5. Bg5 d6 6. e3 h6 7. Bh4 g5 8. Bg3 Nh5 9. Nd2 Nxg3 10. hxg3 e6 11. Qc2 Qe7 12. Be2 a6 13. f4 f5 14. O-O-O c5 15. d5 e5 16. Rh5 exf4 17. gxf4 gxf4 18. exf4 Nd7 19. Bd3 Nf6 20. Rhh1 Ng4 21. Rde1 Qf6 22. Re2 Qd4 23. Na4 Ne3 24. Rxe3 Qxe3 25. Nb6 Rb8 26. Rf1 Re8 27. Kb1 Qd4 28. Nb3 Qf6 29. Nc1 Re7 30. Nxc8 Rxc8 31. Bxf5 Rce8 32. Be6+ Rxe6 33. dxe6 Qxe6 34. Rf2 Qe4 35. Re2 Qxc2+ 36. Kxc2 Rf8 37. Nd3 b5 38. b3 Kf7 39. Nf2 Rd8 40. Ne4 d5 41. Nxc5 dxc4 42. Nxa6 Ra8 43. Nb4 Bf8 44. Kc3 Bg7+ 45. Kc2 Bf8 46. Kc3 Bg7+ 47. Kd2 Bf8 48. Nc2 Rxa2 49. bxc4 bxc4 50. Re4 Ra4 51. Ke2 Bc5 52. Kf3 Kf6 53. g4 Kf7 54. f5 Be7 55. Ne3 Ra3 56. Rxc4 Bg5 57. Re4 Kf6 58. Re8 Rxe3+ 59. Rxe3 Bxe3 60. Kxe3 h5 61. gxh5 Kxf5 62. h6 Kg6 63. h7 Kg7 64. Ke2 Kxh7 1/2-1/2 1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d3 Nf6 6. d4 d5 7. Bd3 Bd6 8. O-O O-O 9. h3 h6 10. c4 dxc4 11. Bxc4 Nc6 12. Nc3 a6 13. Re1 Re8 14. Be3 b5 15. Bf1 Bb7 16. Rc1 Ne7 17. Ne5 Ned5 18. Nxd5 Nxd5 19. Bd2 Qf6 20. Qh5 c5 21. a4 c4 22. Re4 Bxe5 23. dxe5 Qg6 24. Qh4 Nf6 25. Ree1 Ne4 26. Bc3 Rad8 27. axb5 axb5 28. Bb4 Nd2 29. Qg4 Qxg4 30. hxg4 Nb3 31. Rb1 Bc8 32. f3 Rd5 33. Rbd1 Red8 34. Bd6 Rxd1 35. Rxd1 Be6 36. Be2 f6 37. exf6 gxf6 38. Bf4 Rxd1+ 39. Bxd1 Kg7 40. Be3 Bf7 41. f4 Bd5 42. Kf2 b4 43. Bc2 c3 44. bxc3 bxc3 45. Bf5 Nd2 46. Bd4 Ne4+ 47. Kg1 Kf7 48. Bxe4 Bxe4 49. Bxc3 1/2-1/2
5,"Giri, A.","Carlsen, M.",Unknown,Draw,2012.08.01,1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d3 Nf6 6. d4 d5 7. Bd3 Bd6 8. O-O O-O 9. h3 h6 10. c4 dxc4 11. Bxc4 Nc6 12. Nc3 a6 13. Re1 Re8 14. Be3 b5 15. Bf1 Bb7 16. Rc1 Ne7 17. Ne5 Ned5 18. Nxd5 Nxd5 19. Bd2 Qf6 20. Qh5 c5 21. a4 c4 22. Re4 Bxe5 23. dxe5 Qg6 24. Qh4 Nf6 25. Ree1 Ne4 26. Bc3 Rad8 27. axb5 axb5 28. Bb4 Nd2 29. Qg4 Qxg4 30. hxg4 Nb3 31. Rb1 Bc8 32. f3 Rd5 33. Rbd1 Red8 34. Bd6 Rxd1 35. Rxd1 Be6 36. Be2 f6 37. exf6 gxf6 38. Bf4 Rxd1+ 39. Bxd1 Kg7 40. Be3 Bf7 41. f4 Bd5 42. Kf2 b4 43. Bc2 c3 44. bxc3 bxc3 45. Bf5 Nd2 46. Bd4 Ne4+ 47. Kg1 Kf7 48. Bxe4 Bxe4 49. Bxc3 1/2-1/2 1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. Qc2 Bb4+ 6. Bd2 Bxd2+ 7. Nbxd2 d5 8. Bg2 O-O 9. O-O Nbd7 10. Ne5 c5 11. Nxd7 Qxd7 12. cxd5 Nxd5 13. dxc5 Rac8 14. Nb3 bxc5 15. Rfd1 c4 16. Nd4 c3 17. Nf5 Qb5 18. bxc3 Rxc3 19. Ne7+ Kh8 20. Qd2 Qxe2 21. Nxd5 Qxd2 22. Rxd2 exd5 23. Bxd5 g6 24. Bb3 Bc4 25. Rd7 Bxb3 26. axb3 Rxb3 27. Raxa7 Kg7 28. Kg2 h5 29. h4 Rb6 30. Rd3 Rf6 31. Rf3 Rxf3 32. Kxf3 Rb8 33. Ra3 Kf6 34. Ra6+ Kg7 35. Ra3 Kf6 36. Ra6+ Kg7 37. Ra3 1/2-1/2
6,"Giri, A.","Carlsen, M.",Unknown,Draw,2016.01.27,1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. Qc2 Bb4+ 6. Bd2 Bxd2+ 7. Nbxd2 d5 8. Bg2 O-O 9. O-O Nbd7 10. Ne5 c5 11. Nxd7 Qxd7 12. cxd5 Nxd5 13. dxc5 Rac8 14. Nb3 bxc5 15. Rfd1 c4 16. Nd4 c3 17. Nf5 Qb5 18. bxc3 Rxc3 19. Ne7+ Kh8 20. Qd2 Qxe2 21. Nxd5 Qxd2 22. Rxd2 exd5 23. Bxd5 g6 24. Bb3 Bc4 25. Rd7 Bxb3 26. axb3 Rxb3 27. Raxa7 Kg7 28. Kg2 h5 29. h4 Rb6 30. Rd3 Rf6 31. Rf3 Rxf3 32. Kxf3 Rb8 33. Ra3 Kf6 34. Ra6+ Kg7 35. Ra3 Kf6 36. Ra6+ Kg7 37. Ra3 1/2-1/2 1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 Bb4 5. Bg5 h6 6. Bxf6 Qxf6 7. Qb3 Bxc3+ 8. Qxc3 c6 9. e3 Nd7 10. Bd3 dxc4 11. Bxc4 O-O 12. Bd3 c5 13. O-O b6 14. Be4 Rb8 15. b4 Bb7 16. Bxb7 Rxb7 17. Rac1 Rc8 18. dxc5 bxc5 19. Qxf6 gxf6 20. a3 Rcc7 21. g3 cxb4 22. Rxc7 Rxc7 23. axb4 Rb7 24. Ra1 Rxb4 25. Rxa7 Nc5 26. Ra2 Kg7 27. Kg2 Rb7 28. Rc2 Ne4 29. Nd4 f5 30. Ne2 Rd7 31. Nd4 Rb7 32. h3 Rd7 33. Kf3 Ng5+ 34. Kg2 Ne4 1/2-1/2
7,"Giri, A.","Carlsen, M.",Unknown,Draw,2013.01.27,1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 Bb4 5. Bg5 h6 6. Bxf6 Qxf6 7. Qb3 Bxc3+ 8. Qxc3 c6 9. e3 Nd7 10. Bd3 dxc4 11. Bxc4 O-O 12. Bd3 c5 13. O-O b6 14. Be4 Rb8 15. b4 Bb7 16. Bxb7 Rxb7 17. Rac1 Rc8 18. dxc5 bxc5 19. Qxf6 gxf6 20. a3 Rcc7 21. g3 cxb4 22. Rxc7 Rxc7 23. axb4 Rb7 24. Ra1 Rxb4 25. Rxa7 Nc5 26. Ra2 Kg7 27. Kg2 Rb7 28. Rc2 Ne4 29. Nd4 f5 30. Ne2 Rd7 31. Nd4 Rb7 32. h3 Rd7 33. Kf3 Ng5+ 34. Kg2 Ne4 1/2-1/2 1. d4 Nf6 2. c4 g6 3. f3 d6 4. e4 e5 5. d5 Nh5 6. Be3 Bg7 7. Nc3 O-O 8. Qd2 f5 9. O-O-O f4 10. Bf2 Bf6 11. Qe1 Nd7 12. Kb1 Be7 13. g3 c5 14. dxc6 bxc6 15. c5 dxc5 16. Na4 Qc7 17. Qc3 Rb8 18. Bh3 Nb6 19. Nxc5 Rf7 20. b3 fxg3 21. hxg3 Bxc5 22. Qxc5 Ng7 23. Rc1 Be6 24. Qxc6 Qe7 25. Qc5 Qf6 26. Bg2 Rfb7 27. Ka1 Nd7 28. Qd6 Ne8 29. Qa6 Bxb3 30. Qxf6 Nexf6 31. axb3 Rxb3 32. Rc2 Rb1+ 33. Ka2 R1b4 34. Ka1 Rb1+ 35. Ka2 R1b4 36. Ka1 1/2-1/2
8,"Carlsen, M.","Giri, A.",Blitz,W,2016.06.11,1. d4 Nf6 2. c4 g6 3. f3 d6 4. e4 e5 5. d5 Nh5 6. Be3 Bg7 7. Nc3 O-O 8. Qd2 f5 9. O-O-O f4 10. Bf2 Bf6 11. Qe1 Nd7 12. Kb1 Be7 13. g3 c5 14. dxc6 bxc6 15. c5 dxc5 16. Na4 Qc7 17. Qc3 Rb8 18. Bh3 Nb6 19. Nxc5 Rf7 20. b3 fxg3 21. hxg3 Bxc5 22. Qxc5 Ng7 23. Rc1 Be6 24. Qxc6 Qe7 25. Qc5 Qf6 26. Bg2 Rfb7 27. Ka1 Nd7 28. Qd6 Ne8 29. Qa6 Bxb3 30. Qxf6 Nexf6 31. axb3 Rxb3 32. Rc2 Rb1+ 33. Ka2 R1b4 34. Ka1 Rb1+ 35. Ka2 R1b4 36. Ka1 1/2-1/2 1. e4 c5 2. Nf3 d6 3. Bc4 Nf6 4. d3 g6 5. e5 dxe5 6. Nxe5 e6 7. Qf3 Nbd7 8. Bb5 Bg7 9. Bxd7+ Bxd7 10. Qxb7 O-O 11. Nc3 Be8 12. Nc6 Bxc6 13. Qxc6 Nd5 14. Nxd5 exd5 15. O-O Rc8 16. Qa4 Qc7 17. c3 Qb7 18. Re1 Rc6 19. Re2 Rb6 20. Qc2 Rb8 21. Rb1 Qa6 22. Bf4 Rc8 23. b3 c4 24. bxc4 dxc4 25. d4 Rxb1+ 26. Qxb1 h5 27. h4 Qa5 28. Re3 Qd5 29. Qe4 Qd7 30. d5 Bf6 31. g3 Qg4 32. d6 Kh7 33. Qd5 Rb8 34. Qxf7+ 1-0
9,"Carlsen, M.","Giri, A.",Rapid,Draw,2016.06.10,1. e4 c5 2. Nf3 d6 3. Bc4 Nf6 4. d3 g6 5. e5 dxe5 6. Nxe5 e6 7. Qf3 Nbd7 8. Bb5 Bg7 9. Bxd7+ Bxd7 10. Qxb7 O-O 11. Nc3 Be8 12. Nc6 Bxc6 13. Qxc6 Nd5 14. Nxd5 exd5 15. O-O Rc8 16. Qa4 Qc7 17. c3 Qb7 18. Re1 Rc6 19. Re2 Rb6 20. Qc2 Rb8 21. Rb1 Qa6 22. Bf4 Rc8 23. b3 c4 24. bxc4 dxc4 25. d4 Rxb1+ 26. Qxb1 h5 27. h4 Qa5 28. Re3 Qd5 29. Qe4 Qd7 30. d5 Bf6 31. g3 Qg4 32. d6 Kh7 33. Qd5 Rb8 34. Qxf7+ 1-0 1. e4 e5 2. Bc4 Nf6 3. d3 Nc6 4. Nc3 Na5 5. Nge2 Bc5 6. O-O O-O 7. a4 Nxc4 8. dxc4 a5 9. Qd3 d6 10. b3 Be6 11. Be3 Nd7 12. Rad1 f5 13. f4 b6 14. Kh1 Kh8 15. Bxc5 Nxc5 16. Qe3 exf4 17. Nxf4 fxe4 18. Nxe6 Nxe6 19. Rxf8+ Qxf8 20. Qxe4 Nc5 21. Qc6 Rc8 22. Kg1 Qf4 23. Nd5 Qe4 24. Rf1 h6 25. h3 Qd4+ 26. Kh2 Qe5+ 27. Kg1 Qd4+ 28. Kh2 Qe5+ 1/2-1/2
10,"Carlsen, M.","Giri, A.",Blitz,B,2016.06.20,1. e4 e5 2. Bc4 Nf6 3. d3 Nc6 4. Nc3 Na5 5. Nge2 Bc5 6. O-O O-O 7. a4 Nxc4 8. dxc4 a5 9. Qd3 d6 10. b3 Be6 11. Be3 Nd7 12. Rad1 f5 13. f4 b6 14. Kh1 Kh8 15. Bxc5 Nxc5 16. Qe3 exf4 17. Nxf4 fxe4 18. Nxe6 Nxe6 19. Rxf8+ Qxf8 20. Qxe4 Nc5 21. Qc6 Rc8 22. Kg1 Qf4 23. Nd5 Qe4 24. Rf1 h6 25. h3 Qd4+ 26. Kh2 Qe5+ 27. Kg1 Qd4+ 28. Kh2 Qe5+ 1/2-1/2 1. e4 c5 2. Nc3 d6 3. f4 Nc6 4. Nf3 g6 5. Bb5 Bd7 6. a4 Bg7 7. O-O e6 8. f5 exf5 9. d3 Nge7 10. Qe1 O-O 11. Qh4 f6 12. Bc4+ Kh8 13. Nb5 Be8 14. Bh6 Ne5 15. Rae1 g5 16. Nxg5 fxg5 17. Bxg5 N5g6 18. Qh3 f4 19. g3 Bxb5 20. axb5 f3 21. c3 Qe8 22. Be6 Ne5 23. Re3 b6 24. Kh1 a6 25. bxa6 Rxa6 26. g4 b5 27. Bxe7 Qxe7 28. Bf5 h6 29. d4 cxd4 30. cxd4 Nc6 31. g5 Nxd4 32. gxh6 Be5 33. Qh5 Ra2 34. Rexf3 Nxf3 35. Rxf3 Rg8 36. Bg6 Ra1+ 37. Kg2 Qe6 38. Rg3 Bxg3 39. Bf7 Qxe4+ 0-1
